v,vw,o,c,h,l,t,n,tDate,Symbol,Name
16252233,74.0538,74.34,74.05,74.38,73.81,1501041600000,95123,2017-07-26T04:00:00Z,MSFT,Microsoft
36844220,73.2932,73.76,73.16,74.42,72.32,1501128000000,196351,2017-07-27T04:00:00Z,MSFT,Microsoft
18306680,72.9979,72.67,73.04,73.31,72.54,1501214400000,97566,2017-07-28T04:00:00Z,MSFT,Microsoft
23600054,72.8706,73.3,72.7,73.44,72.41,1501473600000,120989,2017-07-31T04:00:00Z,MSFT,Microsoft
20823890,72.7772,73.1,72.58,73.42,72.49,1501560000000,101568,2017-08-01T04:00:00Z,MSFT,Microsoft
26499158,72.0185,72.55,72.26,72.56,71.445,1501646400000,139246,2017-08-02T04:00:00Z,MSFT,Microsoft
18214424,72.1304,72.19,72.15,72.44,71.845,1501732800000,100838,2017-08-03T04:00:00Z,MSFT,Microsoft
22578952,72.6245,72.4,72.68,73.04,72.24,1501819200000,122573,2017-08-04T04:00:00Z,MSFT,Microsoft
18705681,72.4845,72.8,72.4,72.9,72.26,1502078400000,95228,2017-08-07T04:00:00Z,MSFT,Microsoft
22044587,72.6856,72.09,72.79,73.13,71.75,1502164800000,115206,2017-08-08T04:00:00Z,MSFT,Microsoft
22213410,72.3516,72.25,72.47,72.51,72.05,1502251200000,116377,2017-08-09T04:00:00Z,MSFT,Microsoft
24734461,71.7274,71.9,71.41,72.19,71.35,1502337600000,145628,2017-08-10T04:00:00Z,MSFT,Microsoft
21443675,72.2202,71.61,72.5,72.7,71.28,1502424000000,125499,2017-08-11T04:00:00Z,MSFT,Microsoft
20096592,73.5292,73.06,73.59,73.72,72.95,1502683200000,107571,2017-08-14T04:00:00Z,MSFT,Microsoft
19181402,73.2294,73.59,73.22,73.59,73.04,1502769600000,80175,2017-08-15T04:00:00Z,MSFT,Microsoft
18150402,73.6216,73.34,73.65,74.1,73.17,1502856000000,109257,2017-08-16T04:00:00Z,MSFT,Microsoft
22977519,72.8839,73.58,72.4,73.87,72.4,1502942400000,131274,2017-08-17T04:00:00Z,MSFT,Microsoft
18761491,72.4389,72.27,72.49,72.84,71.93,1503028800000,102110,2017-08-18T04:00:00Z,MSFT,Microsoft
17734767,72.0646,72.47,72.15,72.48,71.7,1503288000000,98305,2017-08-21T04:00:00Z,MSFT,Microsoft
14343674,73.0271,72.35,73.16,73.24,72.35,1503374400000,81538,2017-08-22T04:00:00Z,MSFT,Microsoft
13766507,72.7885,72.96,72.72,73.15,72.53,1503460800000,75112,2017-08-23T04:00:00Z,MSFT,Microsoft
17098282,72.5956,72.74,72.69,72.86,72.07,1503547200000,82940,2017-08-24T04:00:00Z,MSFT,Microsoft
12794301,72.8782,72.86,72.82,73.35,72.48,1503633600000,78614,2017-08-25T04:00:00Z,MSFT,Microsoft
14569715,72.7781,73.06,72.83,73.09,72.55,1503892800000,66075,2017-08-28T04:00:00Z,MSFT,Microsoft
11478382,72.8684,72.25,73.05,73.16,72.05,1503979200000,73067,2017-08-29T04:00:00Z,MSFT,Microsoft
16897801,73.7629,73.01,74.01,74.2099,72.8293,1504065600000,89047,2017-08-30T04:00:00Z,MSFT,Microsoft
27652811,74.6891,74.03,74.77,74.96,73.8,1504152000000,125777,2017-08-31T04:00:00Z,MSFT,Microsoft
21736161,74.0167,74.71,73.94,74.74,73.64,1504238400000,107447,2017-09-01T04:00:00Z,MSFT,Microsoft
22242384,73.5138,73.34,73.61,73.89,72.98,1504584000000,124392,2017-09-05T04:00:00Z,MSFT,Microsoft
16535785,73.5678,73.74,73.4,74.04,73.35,1504670400000,82835,2017-09-06T04:00:00Z,MSFT,Microsoft
17471200,74.2882,73.68,74.34,74.6,73.6,1504756800000,98885,2017-09-07T04:00:00Z,MSFT,Microsoft
14703816,74.0986,74.33,73.98,74.44,73.84,1504843200000,80858,2017-09-08T04:00:00Z,MSFT,Microsoft
17910383,74.7111,74.31,74.76,74.945,74.31,1505102400000,91491,2017-09-11T04:00:00Z,MSFT,Microsoft
14394850,74.662,74.76,74.68,75.24,74.37,1505188800000,87428,2017-09-12T04:00:00Z,MSFT,Microsoft
13380802,75.0275,74.93,75.21,75.23,74.55,1505275200000,73296,2017-09-13T04:00:00Z,MSFT,Microsoft
15733914,74.9704,75,74.77,75.49,74.52,1505361600000,78186,2017-09-14T04:00:00Z,MSFT,Microsoft
38578441,75.019,74.83,75.31,75.39,74.07,1505448000000,120320,2017-09-15T04:00:00Z,MSFT,Microsoft
23306959,75.3529,75.23,75.16,75.97,75.04,1505707200000,100756,2017-09-18T04:00:00Z,MSFT,Microsoft
16093344,75.4277,75.21,75.44,75.71,75.01,1505793600000,86021,2017-09-19T04:00:00Z,MSFT,Microsoft
21587878,74.9414,75.35,74.94,75.55,74.31,1505880000000,117328,2017-09-20T04:00:00Z,MSFT,Microsoft
19186140,74.4721,75.11,74.21,75.24,74.11,1505966400000,98378,2017-09-21T04:00:00Z,MSFT,Microsoft
14111365,74.281,73.99,74.41,74.51,73.85,1506052800000,83053,2017-09-22T04:00:00Z,MSFT,Microsoft
24149163,73.262200000000007,74.09,73.26,74.25,72.92,1506312000000,136873,2017-09-25T04:00:00Z,MSFT,Microsoft
18019577,73.3447,73.67,73.26,73.81,72.99,1506398400000,91646,2017-09-26T04:00:00Z,MSFT,Microsoft
19563435,73.7486,73.55,73.85,74.17,73.17,1506484800000,111512,2017-09-27T04:00:00Z,MSFT,Microsoft
10883787,73.7438,73.54,73.87,73.97,73.31,1506571200000,67958,2017-09-28T04:00:00Z,MSFT,Microsoft
17079114,74.3537,73.94,74.49,74.535,73.88,1506657600000,81988,2017-09-29T04:00:00Z,MSFT,Microsoft
15304762,74.6911,74.71,74.61,75.01,74.295,1506916800000,92480,2017-10-02T04:00:00Z,MSFT,Microsoft
12190403,74.3885,74.67,74.26,74.88,74.195,1507003200000,73333,2017-10-03T04:00:00Z,MSFT,Microsoft
13317681,74.2816,74,74.69,74.72,73.71,1507089600000,86709,2017-10-04T04:00:00Z,MSFT,Microsoft
21195261,75.677,75.22,75.97,76.12,74.96,1507176000000,117089,2017-10-05T04:00:00Z,MSFT,Microsoft
13959814,75.8404,75.67,76,76.03,75.54,1507262400000,79283,2017-10-06T04:00:00Z,MSFT,Microsoft
11386502,76.2897,75.97,76.29,76.55,75.86,1507521600000,71876,2017-10-09T04:00:00Z,MSFT,Microsoft
13944545,76.3564,76.33,76.29,76.63,76.14,1507608000000,86722,2017-10-10T04:00:00Z,MSFT,Microsoft
15388898,76.268,76.36,76.42,76.46,75.95,1507694400000,78275,2017-10-11T04:00:00Z,MSFT,Microsoft
16876538,77.026,76.49,77.12,77.29,76.37,1507780800000,100376,2017-10-12T04:00:00Z,MSFT,Microsoft
15335742,77.5147,77.59,77.49,77.87,77.29,1507867200000,85776,2017-10-13T04:00:00Z,MSFT,Microsoft
12380093,77.5661,77.42,77.65,77.81,77.35,1508126400000,78255,2017-10-16T04:00:00Z,MSFT,Microsoft
16823989,77.4618,77.47,77.59,77.62,77.25,1508212800000,79151,2017-10-17T04:00:00Z,MSFT,Microsoft
13300701,77.663,77.67,77.61,77.85,77.37,1508299200000,77675,2017-10-18T04:00:00Z,MSFT,Microsoft
15092758,77.7118,77.57,77.91,77.93,77.35,1508385600000,96653,2017-10-19T04:00:00Z,MSFT,Microsoft
22866426,78.6777,78.32,78.81,78.97,78.22,1508472000000,101958,2017-10-20T04:00:00Z,MSFT,Microsoft
20627173,78.9915,78.99,78.83,79.34,78.76,1508731200000,110771,2017-10-23T04:00:00Z,MSFT,Microsoft
17517182,78.8925,78.9,78.86,79.2,78.46,1508817600000,99022,2017-10-24T04:00:00Z,MSFT,Microsoft
20410808,78.5775,78.58,78.63,79.1,78.01,1508904000000,129848,2017-10-25T04:00:00Z,MSFT,Microsoft
32120717,79.2096,79.2,78.76,79.42,78.75,1508990400000,166179,2017-10-26T04:00:00Z,MSFT,Microsoft
